,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.4410797921500379,0.1420895879713375,-3.1042372523383848,0.0019077028673501618,-0.719570267151995,-0.16258931714808073
log_median_household_income_c,0.0737111346371168,0.04821532022619479,1.5287907306497666,0.12631633102485995,-0.0207891565092906,0.16821142578352422
pct_black_c,-0.6004437796298631,0.09221908644941401,-6.511057555956503,7.462354192107417e-11,-0.7811898677579002,-0.4196976915018259
pct_hispanic_c,-0.0642605137787736,0.04676085651215087,-1.3742373123998581,0.16936802057154898,-0.15591010842883457,0.027389080871287344
pct_asian_c,-0.6824422892340054,0.05494523259039409,-12.420409507071861,2.0252218395377258e-35,-0.7901329662333543,-0.5747516122346565
poverty_rate,-0.26648292529212775,0.24231070675211527,-1.0997571211937438,0.27143795938261706,-0.7414031835947201,0.2084373330104647
ghi_mean_kwh_m2_day_2023,0.16452724537458416,0.027914894475751045,5.893887419760973,3.772142175336803e-09,0.109815057569876,0.21923943317929231
log_median_household_income_c:pct_black_c,0.593846177748141,0.3451707552616943,1.7204417486003738,0.08535217369166177,-0.08267607108126918,1.270368426577551
log_median_household_income_c:pct_hispanic_c,-0.3473888753513454,0.1393815136093988,-2.4923597567240092,0.012689743295034273,-0.6205716221364463,-0.07420612856624437
log_median_household_income_c:pct_asian_c,0.40479682661989047,0.11104691358943827,3.6452775996683884,0.00026710332166571553,0.18714887539025996,0.622444777849521
