,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.35247136791242906,0.15375272040753263,-2.2924561398209957,0.021879335698008193,-0.6538211624362495,-0.05112157338860851
log_median_household_income_c,0.11293558933402467,0.05122099985764754,2.2048688945528823,0.027463295812931287,0.012544274360904259,0.21332690430714507
pct_black_c,-0.4920993713765473,0.08619446877022219,-5.709175755678583,1.135246121038341e-08,-0.6610374258327453,-0.32316131692034933
pct_hispanic_c,0.03877163648482929,0.05624305590739756,0.689358639200999,0.4905976048559261,-0.07146272747414265,0.14900600044380125
pct_asian_c,-0.6339317033670212,0.054310330051728674,-11.672396443977116,1.763835494745797e-31,-0.7403779942568928,-0.5274854124771496
poverty_rate,-0.2305090774258124,0.2569633646697855,-0.8970503547150834,0.3696920480082796,-0.7341480175248241,0.2731298626731993
total_population,-3.166899706622109e-06,5.204574242958956e-07,-6.084839141081465,1.1660832452455701e-09,-4.186977513728546e-06,-2.1468218995156722e-06
ghi_mean_kwh_m2_day_2023,0.17375818435866208,0.03025128928805197,5.743827402003971,9.25601361566339e-09,0.1144667468681779,0.23304962184914627
log_median_household_income_c:pct_black_c,0.6833457752738,0.34937999398573827,1.9558812382992206,0.05047914596440317,-0.001426429857067646,1.3681179804046677
log_median_household_income_c:pct_hispanic_c,-0.2171521270016985,0.15052341159359023,-1.4426468594002126,0.14911997596282053,-0.5121725925552342,0.07786833855183717
log_median_household_income_c:pct_asian_c,0.44844805373443497,0.11622169122572634,3.858557288272952,0.00011405833375470742,0.22065772470967654,0.6762383827591933
