,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.6406674932891435,0.4904383336124972,-1.3063161041472435,0.19144508281908357,-1.601908963807478,0.3205739772291909
log_median_household_income,0.023099913269862368,0.03848893634678576,0.6001702167535077,0.5483928004731699,-0.05233701577309237,0.0985368423128171
pct_black,-0.997977355302097,0.12656190325723257,-7.885290356875745,3.1380499878365e-15,-1.2460341275011153,-0.7499205831030786
pct_hispanic,-0.0733025360727716,0.04890446260727471,-1.4988925788107441,0.1339015019276454,-0.16915352146631582,0.02254844932077263
pct_asian,-0.7105665898458731,0.048852212247638194,-14.545228499457076,6.262139773345198e-48,-0.8063151664163505,-0.6148180132753956
poverty_rate,-0.16130283795189046,0.20867087739298587,-0.7730011967511494,0.4395216723812355,-0.5702902422645161,0.2476845663607352
ghi_mean_kwh_m2_day_2023,0.1800675102673791,0.0296390113486681,6.075354813596738,1.2371386810352108e-09,0.12197611548661569,0.23815890504814252
plant_capacity_mw,0.06051492799628027,0.015195172814982512,3.982510020327789,6.819124880120681e-05,0.030732936540052436,0.0902969194525081
storage_capacity_mw,0.03810762547896117,0.005588870453945872,6.818484306083048,9.20060248123054e-12,0.027153640674967235,0.0490616102829551
wind_capacity_mw,0.000939209151055925,0.00022524417286912617,4.1697378409058095,3.0495022186335057e-05,0.0004977386845049237,0.0013806796176069262
wind_turbine_count,-0.0006954476056831929,0.00014887561309263265,-4.671333277737536,2.9925093784894674e-06,-0.0009872384455210726,-0.0004036567658453132
