,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-4.323501875780934,2.4201974371044814,-1.7864252765070117,0.07403042602085581,-9.067001687981861,0.4199979364199917
log_median_household_income,0.6643071442752857,0.19352127668293106,3.432734403482151,0.0005975271224294351,0.2850124117345299,1.0436018768160416
pct_black,-2.4597877525718967,0.7314607721077977,-3.362843020937,0.0007714421799764227,-3.8934245220070403,-1.0261509831367532
pct_hispanic,1.3710487053041052,0.2413455623255321,5.680853180365526,1.3402449047624316e-08,0.8980200953174953,1.844077315290715
pct_asian,-0.8867321077123358,0.3377485059730005,-2.6254212588085317,0.008654182304303044,-1.5487070152516282,-0.22475720017304346
poverty_rate,-1.5172062329098268,1.0437304217453944,-1.4536380288433628,0.14604668773312096,-3.562880269099601,0.5284678032799475
ghi_mean_kwh_m2_day_2023,0.320474558031304,0.13015878564288594,2.462181530416115,0.013809475236480767,0.06536802589977847,0.5755810901628295
plant_mw_per_100k,0.005553348778892732,0.0014011253485551225,3.9634917636880185,7.386141300000578e-05,0.002807193557898562,0.008299503999886902
storage_mw_per_100k,0.06052306701506521,0.0101841287078079,5.942881197943207,2.800554085835333e-09,0.04056254153384129,0.08048359249628914
wind_mw_per_100k_ctrl,0.0002789913731716154,9.612418000016786e-05,2.9024057544223334,0.003703085642406552,9.0591442327841e-05,0.00046739130401538974
turbines_per_100k,-0.00018725626019369158,6.667351997741483e-05,-2.8085551843838945,0.004976435268035624,-0.00031793395807193646,-5.65785623154467e-05
