,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-3.9071596843177923,1.4000094132474286,-2.7908095812404845,0.005257639356983974,-6.651127712299806,-1.163191656335779
log_median_household_income,0.5324725794269505,0.1190560829133856,4.4724516916479535,7.73278728847578e-06,0.2991269447763002,0.7658182140776008
pct_black,-0.9168249900191698,0.2687554213815502,-3.4113730071236774,0.0006463660237412682,-1.4435759365768943,-0.3900740434614455
pct_hispanic,-0.6234117374794117,0.12547728799058322,-4.9683233313601525,6.753428899246094e-07,-0.8693427028187151,-0.37748077214010833
pct_asian,-1.2100202656827825,0.14212496096917632,-8.513777294512035,1.68357216341716e-17,-1.488580070486529,-0.931460460879036
poverty_rate,1.4173331101899036,0.5321612851562542,2.6633525393974193,0.0077366312565188495,0.37431615731709567,2.4603500630627115
cdd65_2023,-0.00018418351369920232,4.863387893327e-05,-3.787144224130641,0.00015238865570518575,-0.0002795041648368928,-8.886286256151187e-05
hdd65_2023,-0.0001547706080409154,3.420488031201474e-05,-4.524810688682661,6.044959074703135e-06,-0.00022181094154796743,-8.773027453386335e-05
pct_multifamily_units,-0.9386717446478834,0.26821954540307086,-3.499639607685117,0.0004658875712096287,-1.464372393587608,-0.4129710957081587
pct_mobile_home_units,0.1584904121293348,0.36505989747360773,0.4341490621844953,0.6641801998751984,-0.5570138391188211,0.8739946633774907
pct_other_housing_units,-7.381408378558696,3.2840308350408827,-2.2476671959953767,0.02459741926425914,-13.817990539357826,-0.9448262177595668
owner_occupied_rate,1.059004015238889,0.3437687191976118,3.080571198306533,0.0020660395232665538,0.3852297066001069,1.7327783238776713
