,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.729699344644139,0.14770112460482254,11.710806869426255,1.1220668631167619e-31,1.440210459942624,2.0191882293456542
log_median_household_income_c,0.7651912756471358,0.1293380774146404,5.916210376268668,3.294437861702436e-09,0.5116933020847872,1.0186892492094843
pct_black_c,-1.5976681113755757,0.3697000544290401,-4.32152522628917,1.549543318220996e-05,-2.322266903138992,-0.8730693196121595
pct_hispanic_c,-0.6196904169653953,0.13033631244601004,-4.754549252895989,1.9888965207005032e-06,-0.8751448952373346,-0.364235938693456
pct_asian_c,-1.9014106497104433,0.1879878765232589,-10.114538686622113,4.76255307031485e-24,-2.2698601172261936,-1.5329611821946931
poverty_rate,-0.258744042977626,0.5797566356011974,-0.4462976826635421,0.6553822299611041,-1.395046168554085,0.877558082598833
cdd65_2023,3.699236935684412e-05,4.809445572762886e-05,0.7691607857325867,0.44179786660371434,-5.727103172536457e-05,0.00013125577043905282
hdd65_2023,-1.3037889817447451e-05,3.569709746866133e-05,-0.36523669267209985,0.7149347306077689,-8.300291520863958e-05,5.692713557374468e-05
log_median_household_income_c:pct_black_c,0.3184535429627626,1.3820454564154772,0.23042190217730985,0.817763943519505,-2.3903057766087934,3.0272128625343186
log_median_household_income_c:pct_hispanic_c,0.03198759609913593,0.3289153381322697,0.09725176174749403,0.9225264628880081,-0.6126746206029265,0.6766498128011984
log_median_household_income_c:pct_asian_c,0.45497416085484327,0.46040863432445917,0.9881964127853734,0.3230564646703604,-0.4474101805923684,1.357358502302055
