,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.8444926388380674,0.14022657982823,13.153659178577067,1.62134151364748e-39,1.5696535926995057,2.119331684976629
log_median_household_income_c,0.8078052940866493,0.11413391541114497,7.077697204872799,1.4656953689460683e-12,0.584106930466264,1.0315036577070344
pct_black_c,-1.1860983773487324,0.333204290412908,-3.559673183916434,0.00037131659912082306,-1.8391667860522567,-0.5330299686452079
pct_hispanic_c,-0.26576200871507505,0.13055968862658343,-2.0355594556845693,0.04179461256302592,-0.5216542962559423,-0.009869721174207813
pct_asian_c,-1.4934504366562589,0.17854400632565867,-8.364606952597738,6.031565323930509e-17,-1.8433902587100415,-1.1435106146024763
poverty_rate,-0.5040885411056302,0.5322498939659578,-0.9470899793882743,0.3435929304488806,-1.54727916405417,0.5391020818429098
total_population,-9.959731804613566e-06,1.1849788440579589e-06,-8.404987021123917,4.2790891708324736e-17,-1.2282247661409071e-05,-7.637215947818062e-06
cdd65_2023,0.000183825917892715,4.088640893616843e-05,4.496015245058638,6.923877421390422e-06,0.00010369002892064824,0.00026396180686478175
hdd65_2023,3.8895030724649475e-05,3.0806706683189705e-05,1.2625507531408193,0.20675067571398686,-2.148500485669173e-05,9.927506630599069e-05
log_median_household_income_c:pct_black_c,-0.3481727160830756,1.42032571904471,-0.2451358244200854,0.806351265098713,-3.131959971726663,2.435614539560512
log_median_household_income_c:pct_hispanic_c,0.37888522101741423,0.30518574641588936,1.2414905527766409,0.2144245859801034,-0.21926785055270276,0.9770382925875312
log_median_household_income_c:pct_asian_c,0.6105729943947172,0.418706696050481,1.4582355623973686,0.14477562463822471,-0.21007704994998477,1.4312230387394194
