,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-5.444729550381918,1.3836061736618397,-3.935172922777546,8.313681531565917e-05,-8.156547819546397,-2.732911281217441
C(utility)[T.San Diego Gas & Electric],0.28063973094341216,0.09053079404254663,3.099936700119081,0.001935620045531752,0.10320263512820749,0.45807682675861683
C(utility)[T.Southern California Edison],-0.013287124518199116,0.05074668261109818,-0.2618323767097488,0.7934506765803703,-0.11274879477083659,0.08617454573443835
log_median_household_income,0.6336038804953837,0.11219049370842123,5.647571906957606,1.627297787285225e-08,0.4137145534191106,0.8534932075716568
pct_black,-1.831259330892946,0.3197970694507236,-5.7263167984568355,1.0263448336155986e-08,-2.4580500693778187,-1.2044685924080731
pct_hispanic,-0.689846586199746,0.11613653952322804,-5.939961609255391,2.8508883109299433e-09,-0.9174700209543856,-0.4622231514451065
pct_asian,-1.6837150147310784,0.1568261392665418,-10.736188639251237,6.882746201979337e-27,-1.9910885995279632,-1.3763414299341936
poverty_rate,-0.3911170161352134,0.48041721551858657,-0.8141194851084217,0.41557650437277727,-1.3327174561046602,0.5504834238342335
cdd65_2023,0.00019721217527885696,4.069800231185859e-05,4.845745837047958,1.2613691261521889e-06,0.00011744555650488627,0.00027697879405282766
hdd65_2023,0.00013151537494493398,3.305597464990681e-05,3.9785659427018207,6.933218294977888e-05,6.672685515724761e-05,0.00019630389473262034
