,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-5.444729550381918,2.121869204712901,-2.5660062073046657,0.010287698713759504,-9.603516771523852,-1.285942329239985
C(utility)[T.San Diego Gas & Electric],0.28063973094341216,0.14662204532307518,1.9140350301691327,0.05561567994362972,-0.006734197229414651,0.568013659116239
C(utility)[T.Southern California Edison],-0.013287124518199116,0.13557186052500197,-0.09800798238472742,0.9219259548604302,-0.27900308846429045,0.2524288394278922
log_median_household_income,0.6336038804953837,0.16412290861128997,3.860545038206801,0.0001131343844410916,0.3119288905792967,0.9552788704114707
pct_black,-1.831259330892946,0.6163327838510725,-2.9712184373035755,0.002966207227910928,-3.039249389732358,-0.623269272053534
pct_hispanic,-0.689846586199746,0.20364476429067307,-3.3874997405535607,0.0007053278389888816,-1.0889829898496137,-0.29071018254987835
pct_asian,-1.6837150147310784,0.3704765760053871,-4.544727315517502,5.500641700714637e-06,-2.4098357608173533,-0.9575942686448038
poverty_rate,-0.3911170161352134,0.6608016308880298,-0.5918826435243568,0.5539291770597972,-1.6862644136010823,0.9040303813306556
cdd65_2023,0.00019721217527885696,8.291033012388754e-05,2.3786200704324245,0.017377576418950474,3.471091428971108e-05,0.00035971343626800285
hdd65_2023,0.00013151537494493398,6.859214946002711e-05,1.9173531662187684,0.05519307981622699,-2.922767618907684e-06,0.0002659535175087756
