,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-5.27632027658593,1.35754414459509,-3.886665709982993,0.00010163055763710008,-7.937057907415542,-2.6155826457563185
log_median_household_income,0.6349812504557725,0.1110414791463946,5.718414914291869,1.0752233379829743e-08,0.4173439505387836,0.8526185503727614
pct_black,-1.8147362380996146,0.3164555565860153,-5.7345690424189275,9.776059640113032e-09,-2.4349777317157817,-1.1944947444834475
pct_hispanic,-0.8335665956584782,0.1194911827244959,-6.975967403221591,3.0377316074662234e-12,-1.067765010268585,-0.5993681810483715
pct_asian,-1.8077030640560259,0.15140076891839507,-11.939853918644078,7.335190728101772e-33,-2.1044431183677514,-1.5109630097443003
poverty_rate,-0.4076651451410296,0.5184506040962485,-0.7863143410772224,0.4316833527745537,-1.423809656932711,0.6084793666506518
cdd65_2023,0.00017714023824790806,4.487068761428658e-05,3.9477941539613846,7.887457649140477e-05,8.919530656235889e-05,0.00026508516993345725
hdd65_2023,7.777494049038982e-05,2.836961533326521e-05,2.7414873122792636,0.006116172281973183,2.217151618193473e-05,0.0001333783647988449
plant_capacity_mw,0.03451463997731729,0.02856361993628303,1.2083426419448664,0.2269154926486745,-0.021469026365887718,0.0904983063205223
wind_capacity_mw,0.0014246516272110419,0.0007953565431142775,1.7912112995672518,0.07325939361789635,-0.0001342185521612208,0.0029835218065833048
wind_turbine_count,-0.0004899144823838981,0.0005452235760353883,-0.8985570395659114,0.36888865024092166,-0.0015585330549353947,0.0005787040901675987
PV_system_size_DC,0.003536623425017021,0.0016327202246909811,2.166092739915918,0.030304100880697318,0.0003365505877925535,0.006736696262241489
