,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-2.212062090243057,0.8974494289072095,-2.4648320217180393,0.013707749776878813,-3.9710306488472273,-0.45309353163888666
log_median_household_income,0.3081814460808197,0.07639993270121537,4.033792114530451,5.4883877309414964e-05,0.15844032956515366,0.4579225625964858
pct_black,-0.8906940241655974,0.26312117932806833,-3.3851095774204105,0.0007114984534181128,-1.4064020592183164,-0.3749859891128785
pct_hispanic,-0.1781617831268574,0.08300485842207592,-2.146401867477598,0.03184093046990749,-0.3408483161759724,-0.01547525007774242
pct_asian,-0.5711527579423502,0.1390022779827027,-4.108945308172747,3.9747018337094054e-05,-0.8435922165574724,-0.298713299327228
poverty_rate,-1.1716186292367528,0.3589900709143072,-3.2636519061732607,0.0010998620544244617,-1.8752262390362748,-0.46801101943723067
cdd65_2023,0.00016538711779983086,2.8532831915505624e-05,5.796379353076214,6.776189152830135e-09,0.00010946379486850483,0.0002213104407311569
hdd65_2023,4.904415677173456e-05,1.7921602024395728e-05,2.7365944576256824,0.006207877000548303,1.3918462258658805e-05,8.416985128481032e-05
plant_mw_per_100k,-0.00039873418959557,0.000594652922576408,-0.6705326324942696,0.5025183112699749,-0.001564232501146815,0.0007667641219556749
storage_mw_per_100k,0.059830680185170376,0.0060010751560129645,9.969993481121655,2.0624237295100048e-23,0.04806878901086688,0.07159257135947387
wind_mw_per_100k_ctrl,3.523762142283873e-05,5.480456898217598e-06,6.429686808466466,1.2786712750755836e-10,2.449612328350814e-05,4.597911956216932e-05
