,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-3.5221621722317806,1.4927512639565599,-2.3595104270059277,0.018299066606721957,-6.447900887463282,-0.5964234570002795
log_median_household_income,0.4400606039778026,0.12992954814369684,3.3869170659403305,0.0007068275123388717,0.18540336908859378,0.6947178388670114
pct_black,-1.343434992092282,0.2877559289140698,-4.668661379670342,3.0316858745433284e-06,-1.9074262491017269,-0.779443735082837
pct_hispanic,-1.0849420454107361,0.13866608003398076,-7.824134389209431,5.111617941147105e-15,-1.356722568154687,-0.8131615226667852
pct_asian,-1.2873207497311951,0.1627910429483642,-7.907810690416925,2.6195475346618463e-15,-1.6063853309157021,-0.9682561685466882
poverty_rate,-0.36420489857743865,0.47269758528524713,-0.7704818258330237,0.44101413167935255,-1.2906751413155737,0.5622653441606963
log_kwh,0.04243214882158094,0.007107499101512636,5.970053350066611,2.371760192140842e-09,0.028501706562465378,0.056362591080696495
cdd65_2023,-8.219407320313455e-05,5.544429258346696e-05,-1.4824622945526436,0.13821732915781387,-0.00019086288981503101,2.6474743408761922e-05
hdd65_2023,2.9038201370324057e-05,2.7163942144595752e-05,1.0689980569002644,0.28507054497203865,-2.4202146911213334e-05,8.227854965186145e-05
pct_bachelors_plus,-0.49102271022679567,0.22008889099422443,-2.231019966562879,0.025679806460194188,-0.9223890099728373,-0.05965641048075393
plant_mw_per_100k,-0.0009309842931595445,0.0012875387284836742,-0.7230728463259187,0.46963513069100715,-0.0034545138296880416,0.0015925452433689525
wind_mw_per_100k_ctrl,4.388384316940379e-05,6.423398507419058e-06,6.831873052671064,8.381300491036095e-12,3.12942134365141e-05,5.647347290229348e-05
y_pv,0.9516914333902815,0.17030195580945376,5.58825897721987,2.2935742607371878e-08,0.6179057335070204,1.2854771332735426
