,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.4716692504637019,0.17881926138351156,-2.6376870523590767,0.008347357532835262,-0.8221485625174386,-0.12118993840996517
log_median_household_income_c,-0.008702033901778233,0.08501577960888206,-0.10235786746663068,0.9184726248551267,-0.1753299000527818,0.15792583224922532
pct_black_c,0.44883473490191017,0.35378977098389386,1.2686481399778604,0.20456658653053506,-0.24458047432519558,1.142249944129016
pct_hispanic_c,0.211059320324393,0.10344915075964241,2.040222841604336,0.04132813571356853,0.00830271060423951,0.41381593004454653
pct_asian_c,-0.36549335661992643,0.13134343876712337,-2.782730222770848,0.005390360672465514,-0.6229217662091302,-0.10806494703072272
poverty_rate,-0.12893079400441318,0.41290201797576437,-0.312255180142958,0.7548465992875905,-0.9382038783808213,0.6803422903719949
wind_ws50m_mean_2023,0.14199563373327273,0.04436101644158644,3.200910283925737,0.0013699417975474534,0.055049639190174124,0.22894162827637132
log_median_household_income_c:pct_black_c,-0.6561718241642567,1.077193313223159,-0.6091495519971906,0.5424253153783931,-2.7674319224690223,1.4550882741405087
log_median_household_income_c:pct_hispanic_c,0.6040101252964333,0.21098744426887595,2.8627775808625904,0.004199452392932567,0.1904823333392846,1.017537917253582
log_median_household_income_c:pct_asian_c,0.7338156070160986,0.30216293419992674,2.4285427627286937,0.015159637256821982,0.141587138521296,1.326044075510901
