,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,1.5626583654073014,1.11419323244003,1.4025021153513506,0.16076535926906566,-0.6211202419934228,3.7464369728080253
C(county_geoid)[T.06003],-0.43614214045853045,0.22563332023994806,-1.9329686767659953,0.0532400565946159,-0.8783753218410211,0.006091040923960178
C(county_geoid)[T.06005],-0.4493918395130378,0.22547020891465533,-1.9931317830247852,0.04624701852170592,-0.8913053285724841,-0.00747835045359152
C(county_geoid)[T.06007],-0.4457084337254605,0.22204739399827386,-2.0072671230220576,0.04472122785136427,-0.8809133288230526,-0.010503538627868347
C(county_geoid)[T.06009],-0.443259121314961,0.21990658593319315,-2.0156700602392217,0.04383448835039275,-0.874268109707182,-0.01225013292273991
C(county_geoid)[T.06011],-0.4253436368700878,0.22511425046803546,-1.8894567357941803,0.05883065473107368,-0.8665594601941663,0.01587218645399069
C(county_geoid)[T.06013],-0.1552821172036933,0.28319690636332495,-0.5483185505016622,0.5834731920208995,-0.7103378542089723,0.39977361980158566
C(county_geoid)[T.06015],-0.46034749042563816,0.2281571165766507,-2.017677543145939,0.043624855119921244,-0.9075272217323801,-0.013167759118896227
C(county_geoid)[T.06017],-0.43188414703841804,0.2217423646183254,-1.9476844119606993,0.05145273642211748,-0.8664911955370846,0.0027229014602485058
C(county_geoid)[T.06019],-0.4144317879595988,0.2116634133115878,-1.9579755493667557,0.050232881817585076,-0.8292844548951268,0.0004208789759291842
C(county_geoid)[T.06021],-0.4286983161721362,0.22378829725244745,-1.9156422450836972,0.05541064846460006,-0.8673153189484771,0.009918686604204696
C(county_geoid)[T.06023],-0.4614222119666598,0.22810599112436752,-2.022841266431639,0.04308951557724657,-0.9085017392282333,-0.014342684705086206
C(county_geoid)[T.06025],-0.4415950146884071,0.2185170323295466,-2.020872286158616,0.043292987453285595,-0.8698805280628932,-0.013309501313921113
C(county_geoid)[T.06027],-0.48369526534352913,0.23687187528082226,-2.0420122261036124,0.04115031858389547,-0.9479556098444043,-0.01943492084265397
C(county_geoid)[T.06029],0.25310527014147205,0.48361704349405477,0.5233588715418868,0.6007245396164484,-0.6947667174166161,1.2009772576995603
C(county_geoid)[T.06031],-0.4231804050298401,0.21358659181530099,-1.9813060428240055,0.04755696313443442,-0.8418024325684875,-0.0045583774911927
