,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.7745794765339744,0.838218287697562,0.9240784744289078,0.3554454596541331,-0.8682981785360806,2.4174571316040296
log_median_household_income,-0.10062222040360765,0.07074898324810924,-1.4222426356395272,0.1549558254700477,-0.2392876795127294,0.038043238705514085
pct_black,0.09109815932983,0.2388195582862427,0.381451837460658,0.7028680025494255,-0.37697957371496993,0.55917589237463
pct_hispanic,0.066813369244878,0.09528384691810897,0.701203524059018,0.4831760108992821,-0.1199395390230434,0.2535662775127994
pct_asian,-0.12889153711013634,0.10561101429784704,-1.2204365043463454,0.22229944612850805,-0.3358853215046612,0.07810224728438855
poverty_rate,-0.34700272826031103,0.3270543467207922,-1.0609940878007924,0.2886925880203881,-0.9880174688203394,0.29401201229971724
wind_ws50m_mean_2023,0.11128554523691846,0.03699682511127044,3.007975546610275,0.002629942988203007,0.038773100476501315,0.1837979899973356
plant_capacity_mw,-0.01790173452038108,0.007516530360331382,-2.3816486679622546,0.017235332182883516,-0.03263386331533247,-0.003169605725429696
storage_capacity_mw,0.006746908988129128,0.01400622739004761,0.4817078004119276,0.6300135340202622,-0.020704792255642625,0.034198610231900885
wind_turbine_count,0.006543759905582752,0.0018912681272069299,3.4599852931729638,0.0005402048911991552,0.0028369424911486515,0.010250577320016852
PV_system_size_DC,0.0013760897066851401,0.0014124005348031695,0.9742914086880535,0.3299118692034213,-0.0013921644732741833,0.0041443438866444636
