,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.4292234058205516,0.6606149184483971,0.6497331407965768,0.5158646128538702,-0.8655580419881719,1.724004853629275
log_median_household_income,-0.06500854230861998,0.055059958480133286,-1.180686366337823,0.23772733954733694,-0.17292407791995196,0.042906993302712
pct_black,0.22063724230806542,0.23134683540328094,0.9537076308973638,0.34023165642295106,-0.2327942230196811,0.674068707635812
pct_hispanic,0.11588498443233369,0.07526515030044315,1.5396898029133597,0.12363598359920176,-0.0316319994475289,0.2634019683121963
pct_asian,-0.07600520945472225,0.1021491486459133,-0.7440611151658678,0.45683950247305083,-0.27621386185214075,0.12420344294269625
poverty_rate,-0.47371382030895115,0.2365430185447791,-2.0026539917485415,0.045214440317602855,-0.9373296174511083,-0.010098023166793979
wind_ws50m_mean_2023,0.09499466978920082,0.029805903254244433,3.1871092440613538,0.0014370248678449154,0.03657617288419654,0.1534131666942051
plant_mw_per_100k,-0.0002665464405548523,0.00014961449466603107,-1.7815549298872164,0.07482183972760226,-0.0005597854616654332,2.6692580555728635e-05
storage_mw_per_100k,0.0004618024050309208,0.0009616308747451839,0.4802283466130293,0.6310650326344738,-0.0014229594758913876,0.002346564285953229
wind_mw_per_100k_ctrl,0.0022368887756590147,0.0004308664904819442,5.191605346605049,2.0848856630836515e-07,0.0013924059721692342,0.003081371579148795
turbines_per_100k,-0.001318510472979917,0.0002988831351226921,-4.411458252532936,1.026767530153238e-05,-0.001904310653406812,-0.0007327102925530219
