,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-0.10257956494702813,2.130429796385661,-0.04814970440286626,0.961596933729379,-4.278145237453924,4.072986107559868
log_median_household_income,0.16020035242682018,0.18449277701137523,0.8683285872863344,0.3852144766419271,-0.20139884592325452,0.5217995507768949
pct_black,0.7526721521308116,0.5151497591897801,1.4610744520478922,0.14399501051798536,-0.2570028225256392,1.7623471267872626
pct_hispanic,-0.07923987062467164,0.22491678596053705,-0.35230750024400015,0.7246076639083241,-0.5200686706258283,0.361588929376485
pct_asian,-0.043195024353453154,0.1306659276540039,-0.33057603561221544,0.7409647502211674,-0.29929553656181707,0.21290548785491073
poverty_rate,0.19635088748942164,0.5684809557978409,0.3453957172828258,0.7297968964166912,-0.9178513117712529,1.310553086750096
wind_ws50m_mean_2023,0.1556759406876857,0.05000859453571799,3.1129837207581628,0.0018520623329120168,0.0576608964802119,0.2536909848951595
pct_bachelors_plus,-0.3174719132359473,0.38871817390867064,-0.8167148709402441,0.4140913909407439,-1.079345534233119,0.4444017077612245
log_median_housing_value,-0.17065177752490884,0.10664131709882121,-1.6002407150201559,0.10954519305986576,-0.37966491830251387,0.03836136325269618
pct_multifamily_units,-0.001187727858152382,0.2767152017085132,-0.0042922392800216055,0.9965752990629282,-0.5435395571815747,0.5411641014652699
pct_mobile_home_units,0.13349642251338079,0.43152951384650795,0.30935641301434724,0.7570504226147776,-0.7122858828918534,0.9792787279186149
pct_other_housing_units,-7.59187080035592,3.0049927039728406,-2.526419045982661,0.011523194230403606,-13.48154827394832,-1.7021933267635205
owner_occupied_rate,0.18461977506594734,0.44129981755090925,0.41835452389383604,0.6756879306225233,-0.6803119737179315,1.0495515238498263
